placeID,name,alcohol,smoking_area,dress_code,accessibility,price,Rambience,franchise
135016,Arrachela Grill,No_Alcohol_Served,none,informal,no_accessibility,medium,familiar,f
135104,vips,Full_Bar,not permitted,informal,completely,medium,familiar,t
132630,palomo tec,No_Alcohol_Served,none,informal,completely,low,familiar,f
135047,Restaurante Casa de las Flores,Wine-Beer,section,informal,no_accessibility,high,familiar,f
132951,VIPS,No_Alcohol_Served,not permitted,casual,completely,low,familiar,f
132665,TACOS CORRECAMINOS,No_Alcohol_Served,none,informal,completely,low,familiar,f
135044,Restaurant Wu Zhuo Yi,No_Alcohol_Served,none,informal,no_accessibility,medium,familiar,f
135035,El Mundo de la Pasta,No_Alcohol_Served,section,informal,no_accessibility,high,familiar,f
135071,Restaurante la Cantina,Full_Bar,section,informal,no_accessibility,medium,familiar,f
132834,Gorditas Doa Gloria,No_Alcohol_Served,not permitted,casual,no_accessibility,low,familiar,f
132846,el lechon potosino ,No_Alcohol_Served,permitted,casual,no_accessibility,low,familiar,f
135048,Restaurante Bar Fu-hao,Wine-Beer,none,informal,no_accessibility,high,familiar,f
132717,tortas hawai,No_Alcohol_Served,not permitted,informal,partially,medium,familiar,f
132861,Carls Jr,No_Alcohol_Served,not permitted,informal,completely,medium,familiar,t
132885,Hamburguesas saul,No_Alcohol_Served,none,informal,completely,low,familiar,f
132740,Carreton de Flautas y Migadas,No_Alcohol_Served,permitted,informal,completely,low,familiar,f
132830,Rincon Huasteco,No_Alcohol_Served,none,informal,completely,low,familiar,f
132773,El cotorreo,Wine-Beer,permitted,informal,no_accessibility,low,familiar,f
132706,Gorditas Dona Tota,No_Alcohol_Served,not permitted,informal,no_accessibility,medium,familiar,t
132872,Pizzeria Julios,No_Alcohol_Served,not permitted,informal,partially,medium,familiar,f
134987,Chilis Cuernavaca,Wine-Beer,none,informal,no_accessibility,medium,familiar,f
132572,Cafe Chaires,No_Alcohol_Served,not permitted,informal,completely,low,familiar,f
132958,tacos los volcanes,No_Alcohol_Served,none,informal,completely,low,quiet,t
132733,Little Cesarz,No_Alcohol_Served,not permitted,informal,completely,medium,familiar,t
132922,cafe punta del cielo,No_Alcohol_Served,permitted,formal,completely,medium,familiar,f
132715,tacos de la estacion,No_Alcohol_Served,none,informal,no_accessibility,low,quiet,f
135027,Restaurant Orizatlan,Wine-Beer,none,informal,no_accessibility,medium,familiar,f
132767,Restaurant Familiar El Chino,Wine-Beer,permitted,casual,partially,medium,familiar,f
135039,Restaurant de Mariscos de Picon,No_Alcohol_Served,section,informal,no_accessibility,low,familiar,f
134996,Sanborns Casa Piedra,Wine-Beer,only at bar,informal,no_accessibility,medium,familiar,t
132755,La Estrella de Dimas,No_Alcohol_Served,none,informal,partially,medium,familiar,f
135043,pizza clasica,No_Alcohol_Served,none,informal,no_accessibility,medium,familiar,f
132654,Carnitas Mata  Calle 16 de Septiembre,No_Alcohol_Served,none,informal,completely,low,familiar,f
135049,Restaurante de Mariscos la Langosta,No_Alcohol_Served,none,informal,no_accessibility,medium,familiar,f
135073,Restaurante Bar El Gallinero,Wine-Beer,section,informal,no_accessibility,high,familiar,f
132560,puesto de gorditas,No_Alcohol_Served,permitted,informal,no_accessibility,low,familiar,f
134976,Log Yin,No_Alcohol_Served,none,informal,no_accessibility,low,familiar,f
135075,Mariscos El Pescador,No_Alcohol_Served,none,informal,no_accessibility,medium,familiar,f
132660,carnitas mata calle Emilio Portes Gil,No_Alcohol_Served,none,informal,completely,low,familiar,f
132921,crudalia,Wine-Beer,section,casual,completely,low,quiet,f
132594,tacos de barbacoa enfrente del Tec,No_Alcohol_Served,not permitted,informal,completely,low,familiar,f
134986,Restaurant Las Mananitas,Wine-Beer,none,formal,no_accessibility,high,familiar,f
135062,Restaurante El Cielo Potosino,No_Alcohol_Served,none,informal,no_accessibility,medium,familiar,f
132766,Mikasa,Wine-Beer,none,informal,no_accessibility,medium,familiar,f
135088,Cafeteria cenidet,No_Alcohol_Served,not permitted,informal,no_accessibility,low,quiet,f
135058,Restaurante Tiberius,No_Alcohol_Served,none,informal,no_accessibility,medium,familiar,t
132754,Cabana Huasteca,No_Alcohol_Served,none,informal,partially,medium,familiar,f
132584,Gorditas Dona Tota,No_Alcohol_Served,not permitted,informal,completely,medium,familiar,t
135032,Cafeteria y Restaurant El Pacifico,Wine-Beer,section,informal,no_accessibility,medium,familiar,f
135028,La Virreina,Wine-Beer,none,informal,no_accessibility,medium,familiar,f
135085,Tortas Locas Hipocampo,No_Alcohol_Served,not permitted,informal,no_accessibility,medium,familiar,f
132663,tacos abi,No_Alcohol_Served,none,informal,completely,low,familiar,f
132626,la perica hamburguesa,No_Alcohol_Served,none,informal,completely,medium,familiar,t
132583,McDonalds Centro,No_Alcohol_Served,not permitted,informal,partially,low,familiar,t
132866,Chaires,No_Alcohol_Served,not permitted,informal,completely,medium,familiar,f
135072,Sushi Itto,No_Alcohol_Served,none,informal,no_accessibility,medium,familiar,f
135109,Paniroles,Wine-Beer,not permitted,informal,no_accessibility,medium,quiet,f
135019,Restaurant Bar Coty y Pablo,No_Alcohol_Served,none,informal,completely,low,familiar,f
132877,sirloin stockade,No_Alcohol_Served,none,informal,completely,low,familiar,f
