userID,cuisine
1108,Mexican
1108,Hot_Dogs
1108,American
1108,Fast_Food
1108,Burgers
1108,Asian
1108,Pizzeria
1108,Chinese
1108,Dessert-Ice_Cream
1108,Cafeteria
1108,Japanese
1108,Game
1108,Family
1108,Seafood
1109,Mexican
1110,Mexican
1111,Mexican
1112,Mexican
1113,Burgers
1114,Mexican
1115,Regional
1116,Mexican
1117,Turkish
1118,Pizzeria
1119,Mexican
1120,Mexican
1121,Mexican
1122,Afghan
1123,Mexican
1124,Mexican
1125,Mexican
1126,Mexican
1127,Mexican
1128,Cafeteria
1128,Hot_Dogs
1128,Pizzeria
1128,Mexican
1129,Mexican
1130,Mexican
1131,Mexican
1132,Mexican
1133,Mexican
1134,Mexican
1135,Organic-Healthy
1135,Steaks
1135,Middle_Eastern
1135,Mediterranean
1135,British
1135,Austrian
1135,Israeli
1135,Doughnuts
1135,Pizzeria
1135,Seafood
1135,Fast_Food
1135,Moroccan
1135,Hot_Dogs
1135,Russian-Ukrainian
1135,Malaysian
1135,Burgers
1135,Fusion
1135,Korean
1135,Japanese
1135,Vegetarian
1135,Turkish
1135,Peruvian
1135,Juice
1135,Tapas
1135,Eclectic
1135,African
1135,Basque
1135,Canadian
1135,Afghan
1135,Diner
1135,Irish
1135,Sushi
1135,Polynesian
1135,Bagels
1135,Tex-Mex
1135,Cuban
1135,Southwestern
1135,Cafe-Coffee_Shop
1135,Continental-European
1135,Family
1135,Indian-Pakistani
1135,Tea_House
1135,International
1135,Pacific_Northwest
1135,Australian
1135,German
1135,Regional
1135,Spanish
1135,Persian
1135,Ethiopian
1135,Romanian
1135,Cambodian
1135,Pacific_Rim
1135,Tunisian
1135,Filipino
1135,Dim_Sum
1135,Breakfast-Brunch
1135,Contemporary
1135,Greek
1135,Thai
1135,Swiss
1135,Bar
1135,Soup
1135,American
1135,Mongolian
1135,Cajun-Creole
1135,Armenian
1135,Indigenous
1135,Bar_Pub_Brewery
1135,Hawaiian
1135,Cafeteria
1135,Lebanese
1135,Chinese
1135,Portuguese
1135,Caribbean
1135,Indonesian
1135,Hungarian
1135,Bakery
1135,Dutch-Belgian
1135,Deli-Sandwiches
1135,Kosher
1135,Fine_Dining
1135,Jamaican
1135,Tibetan
1135,Latin_American
1135,Southeast_Asian
1135,Eastern_European
1135,Mexican
1135,Burmese
1135,California
1135,Game
1135,Italian
1135,Scandinavian
1135,Chilean
1135,Polish
1135,North_African
1135,Asian
1135,Vietnamese
1135,Barbecue
1135,French
1135,Brazilian
1135,Southern
1135,Dessert-Ice_Cream
1136,Mexican
1137,Mexican
1138,Pizzeria
